Exploration,https://factpages.npd.no/en/wellbore/PageView/Exploration
Development,https://factpages.npd.no/en/wellbore/PageView/Development
Other,https://factpages.npd.no/en/wellbore/PageView/Other
C02 storage,https://factpages.npd.no/en/wellbore/PageView/CO2Storage
With ...,https://factpages.npd.no/en/wellbore/PageView/With
Well results (WDSS),https://factpages.npd.no/en/wellbore/PageView/With/Wdss
1/2-1,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/1382
1/2-2,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/5192
1/3-1,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/154
1/3-2,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/165
1/3-3,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/87
1/3-4,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/2
1/3-5,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/223
1/3-6,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/1521
1/3-7,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/2505
1/3-8,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/2829
1/3-9 S,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/3362
1/3-10,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/5614
1/3-10 A,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/5779
1/3-11,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/5806
1/3-12 S,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/6260
1/5-1,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/237
1/5-2,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/238
1/5-3 S,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/3257
1/5-4 S,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/4521
1/5-5,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/7874
1/6-1,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/239
1/6-2,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/240
1/6-3,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/241
1/6-4,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/242
1/6-5,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/1508
1/6-6,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/1839
1/6-7,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/1928
1/9-1,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/243
1/9-1 R,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/1444
1/9-2,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/244
1/9-3,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/245
1/9-3 R,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/246
1/9-4,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/247
1/9-4 R,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/1727
1/9-5,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/248
1/9-6 S,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/44
1/9-6 SR,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/1558
1/9-7,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/4652
2/1-1,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/249
2/1-2,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/250
2/1-3,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/251
2/1-4,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/48
2/1-5,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/63
2/1-6,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/109
2/1-7,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/137
2/1-8,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/459
2/1-9,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/1667
2/1-9 A,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/1867
2/1-10,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/1865
2/1-11,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/2699
2/1-12,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/3648
2/1-13 S,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/5975
2/1-14 S,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/5995
2/1-15,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/7219
2/1-16 S,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/7180
2/1-17 S,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/8851
2/2-1,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/46
2/2-2,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/80
2/2-3,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/3
2/2-4,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/1188
2/2-5,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/1846
2/2-6,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/6346
2/3-1,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/162
2/3-2,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/169
2/3-3,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/198
2/3-4,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/129
2/4-1,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/895
2/4-2,https://factpages.npd.no/en/wellbore/PageView/With/Wdss/172
